,description
427,HRSG B:CBD LINE PIN HOLE LEAK HRSG B:CBD LINE PIN HOLE LEAK  1st Line T/S: 1. Observe condensate come out from insulation at CBD Control valve 121TICA-1B58CV  Integrated T/S: 1. Open insulation and found 2 point of pin hole leak downstream 121TICA-1B58CV. 2. Request to raise defect.  Work Request: To rectify pipe leak.   Remark: Pic attach Currently Cogen B shutdown for maintenance until 16 Aug 2018. HRSG B:CBD LINE PIN HOLE LEAK HRSG B:CBD LINE PIN HOLE LEAK HRSG B:CBD LINE PIN HOLE LEAK  1st Line T/S: 1. Observe condensate come out from insulation at CBD Control valve 121TICA-1B58CV  Integrated T/S: 1. Open insulation and found 2 point of pin hole leak downstream 121TICA-1B58CV. 2. Request to raise defect.  Work Request: To rectify pipe leak.   Remark: Pic attach Currently Cogen B shutdown for maintenance until 16 Aug 2018.
428,HRSG B BLOWDOWN COOLER VALVE LOOSE WORK REQUEST TASK:CNI to replace needle valve for blowdown sample cooler HRSG B  TAG NUMBER AND NAME: QICA-1B58 HRSG B Blowdown Sample Cooler  INTERGRATED T/SHOOTING: OPN-Try to normalize after maintenance activity but valve loose  REMARKS: refer attachment Replace Sampling Valve QICA-1B58 WORK REQUEST TASK:CNI to replace needle valve for blowdown sample cooler HRSG B  TAG NUMBER AND NAME: QICA-1B58 HRSG B Blowdown Sample Cooler  INTERGRATED T/SHOOTING: OPN-Try to normalize after maintenance activity but valve loose  REMARKS: refer attachment
429,"HRSG C BLOWDOWN SAMPLE COOLER WORK REQUEST TASK:C&I to replace:- 1. sample regulator 2. male connector fitting, nut, back and front ferrule 1/4"" at sample tapping point 3. nut,back and front ferrule at inlet sample cooler.1/4""  TAG NO AND EQUIPMENT NAME:121-1C58-TX Blowdown Sample Cooler  INTERGRATED T/SHOOTING: ATR raised eLOG-UK-COGEN2-20-00166 Found sample regulator not function and sample not come out after the sample regulator. -Advice to raise defect service/replace sample regulator -Advice to raise defect to replace male connector fitting,nut,back and front ferrule 1/4"" at sample tapping point. -Advice to raise defect to replace nut,back and front ferrule at inlet sample cooler.1/4"" ATTACHMENT:NA HRSG C:REPLACE NEEDLE VALVE SAMPLE COOLE HRSG C:REPLACE NEEDLE VALVE SAMPLE COOLER BLOWDOWN   HRSG C BLOWDOWN SAMPLE COOLER WORK REQUEST TASK:C&I to replace:- 1. sample regulator 2. male connector fitting, nut, back and front ferrule 1/4"" at sample tapping point 3. nut,back and front ferrule at inlet sample cooler.1/4""  TAG NO AND EQUIPMENT NAME:121-1C58-TX Blowdown Sample Cooler  INTERGRATED T/SHOOTING: ATR raised eLOG-UK-COGEN2-20-00166 Found sample regulator not function and sample not come out after the sample regulator. -Advice to raise defect service/replace sample regulator -Advice to raise defect to replace male connector fitting,nut,back and front ferrule 1/4"" at sample tapping point. -Advice to raise defect to replace nut,back and front ferrule at inlet sample cooler.1/4"" ATTACHMENT:NA"
430,"HRSG D CBD line leak at elbow 1)As found condition: HRSG D CBD line suspect leak at elbow inside insulation (121QICA-1D58-CV)  2)Actions taken during Do Troubleshooting: Check condition at site and raised SAP to remove insulation.  3)Actions taken during Advance Troubleshooting: NA  4)Findings/Observations during Do Troubleshooting: NA  5)Findings/Observations during Advance Troubleshooting: CBD line leak at elbow  4)Source of Problem: Clear Cut Defect (CBD elbow leak)  5)As left condition: HRSG D shutdown  6)PKP and Troubleshooter name & contact number: N.Azlan (0129854773) Suken (0129848714)  7)Task: To rectify and replace elbow leak  8)Advance Troubleshooting eLog Number: NA  9)Special Tools/ Service/ Equipment required: Scaffolding, chain lock, power tools and welding set.  10)Attachments: Picture  11)Equipment operation need date: 16 FEB 2021  12)Rectification Window: 16 FEB 2021  13)MOC No: NA  14)Remarks: NA HRSG D CBD REPLACE line leak at elbow HRSG D CBD REPLACE line leak at elbow 1)As found condition: HRSG D CBD line suspect leak at elbow inside insulation (121QICA-1D58-CV)  2)Actions taken during Do Troubleshooting: Check condition at site and raised SAP to remove insulation.  3)Actions taken during Advance Troubleshooting: NA  4)Findings/Observations during Do Troubleshooting: NA  5)Findings/Observations during Advance Troubleshooting: CBD line leak at elbow  4)Source of Problem: Clear Cut Defect (CBD elbow leak)  5)As left condition: HRSG D shutdown  6)PKP and Troubleshooter name & contact number: N.Azlan (0129854773) Suken (0129848714)  7)Task: To rectify and replace elbow leak  8)Advance Troubleshooting eLog Number: NA  9)Special Tools/ Service/ Equipment required: Scaffolding, chain lock, power tools and welding set.  10)Attachments: Picture  11)Equipment operation need date: 16 FEB 2021  12)Rectification Window: 16 FEB 2021  13)MOC No: NA  14)Remarks: NA"
431,"HRSG E CBD CV LEAK INSIDE INSULATION HRSG D CBD REPLACE line leak at elbow 1)As found condition: HRSG D CBD line suspect leak at elbow inside insulation (121QICA-1D58-CV)  2)Actions taken during Do Troubleshooting: Check condition at site and raised SAP to remove insulation.  3)Actions taken during Advance Troubleshooting: NA  4)Findings/Observations during Do Troubleshooting: NA  5)Findings/Observations during Advance Troubleshooting: CBD line leak at elbow  4)Source of Problem: Clear Cut Defect (CBD elbow leak)  5)As left condition: HRSG D shutdown  6)PKP and Troubleshooter name & contact number: N.Azlan (0129854773) Suken (0129848714)  7)Task: To rectify and replace elbow leak  8)Advance Troubleshooting eLog Number: NA  9)Special Tools/ Service/ Equipment required: Scaffolding, chain lock, power tools and welding set.  10)Attachments: Picture  11)Equipment operation need date: 16 FEB 2021  12)Rectification Window: 16 FEB 2021  13)MOC No: NA  14)Remarks: NA HRSG E: To perform repair at CBD line ne HRSG E: To perform repair at CBD line near CV   Work request task: To request Mstat to delag insulation and perform leak rectification Tag number and name: QICA-1E58-CV.Elbow CBD CV remarks; NA"
432,HRSG F CBD CV ELBOW BADLY LEAK Work request Task: To request Mstat for CBD CV elbow rectification due to badly leak Tag number and name: QIFA-1F58-CV and HRSG F CBD CV 1st Line t/shoot: NA T/shooter: Observed leak at elbow remaks:NA.Clear cut defect HRSG F:To replace gasket and repair( bui HRSG F:To replace gasket and repair( built up weld if necessary) for CBD CV  HRSG F CBD CV ELBOW BADLY LEAK Work request Task: To request Mstat for CBD CV elbow rectification due to badly leak Tag number and name: QIFA-1F58-CV and HRSG F CBD CV 1st Line t/shoot: NA T/shooter: Observed leak at elbow remaks:NA.Clear cut defect
433,"HRSG F BW Sample No Flow 1)As found condition: -Boiler water sample HRSG F no flow.  2)Actions taken during Do Troubleshooting: -Valve line up, all valve normalized -Boiler water sample HRSG F no flow -Leak at needle valve  3)Actions taken during Advance Troubleshooting: -Clear cut defect  4)Findings/Observations during Do Troubleshooting: -Needle valve clogged  5)Findings/Observations during Advance Troubleshooting: -To create notification for detective needle valve replacement due to line clogged , water leak at any opening at valve leak.  6)Source of Problem: -Needle valve clogged  7)As left condition: -No HRSG F BW sample  8)PKP and Troubleshooter name & contact number: -M Azhar( 0199834302) -Sukendran(0129488714)  9)Task: -HRSG F Boiler water sample cooler needle valve replacement  10)Advance Troubleshooting eLog Number: - eLOG-GPU-UK OCW-2021-23590  11)Special Tools/ Service/ Equipment required: -Common tool  12)Attachments: -NA  13)Equipment operation need date: -05/07/2021  14)Rectification Window: -NA  15)MOC No: -NA  16)Remarks: -NA REPLACE NEEDLE VALVE AT BLOWDOWN SAMPLE REPLACE NEEDLE VALVE AT BLOWDOWN SAMPLE COOLER HRSG F HRSG F BW Sample No Flow 1)As found condition: -Boiler water sample HRSG F no flow.  2)Actions taken during Do Troubleshooting: -Valve line up, all valve normalized -Boiler water sample HRSG F no flow -Leak at needle valve  3)Actions taken during Advance Troubleshooting: -Clear cut defect  4)Findings/Observations during Do Troubleshooting: -Needle valve clogged  5)Findings/Observations during Advance Troubleshooting: -To create notification for detective needle valve replacement due to line clogged , water leak at any opening at valve leak.  6)Source of Problem: -Needle valve clogged  7)As left condition: -No HRSG F BW sample  8)PKP and Troubleshooter name & contact number: -M Azhar( 0199834302) -Sukendran(0129488714)  9)Task: -HRSG F Boiler water sample cooler needle valve replacement  10)Advance Troubleshooting eLog Number: - eLOG-GPU-UK OCW-2021-23590  11)Special Tools/ Service/ Equipment required: -Common tool  12)Attachments: -NA  13)Equipment operation need date: -05/07/2021  14)Rectification Window: -NA  15)MOC No: -NA  16)Remarks: -NA"
434,HRSG G B/DOWN SAMPLE COOLER TUBING LEAK Work request task: To request C&I to perform rectification of tubing leak for blowdown sample cooler HRSG G Tag number and name: 121QICA-1G58-TX Blowdown water sample cooler Intergrated t/shoot: Request to raised defect as per t/shooter. remarks: Please refer attachment HRSG G:To perform rectification of tubin HRSG G:To perform rectification of tubing leak for blowdown sample cooler.  Work request task: To request C&I to perform rectification of tubing leak for blowdown sample cooler HRSG G Tag number and name: 121QICA-1G58-TX Blowdown water sample cooler Intergrated t/shoot: Request to raised defect as per t/shooter. remarks: Please refer attachment
435,HRSG G: Leak at back pressure relief val HRSG G: Leak at back pressure relief valve for QICA-1G58-TX Work Request Task: To request C&I to install end plug at Relief Valve sample cooler Tag no and name: 12QICA-1G58-TX Blowdown Sample Cooler 1st Line troubleshooting: NA Troubleshooter: NA Remarks: Please refer attachment HRSG G: To replace BPRV for QICA-1G58-TX HRSG G: To replace BPRV for QICA-1G58-TX due to leak at diaphragm
436,Condensate tank conductivity analyser re Condensate tank conductivity analyser reading undefined (121QRA-001) QRA 001 Condensate Tank Rectification QRA 001 Condensate Tank Rectification  Condensate tank conductivity analyser re Condensate tank conductivity analyser reading undefined (121QRA-001)
437,HRSG D : Outlet stack (T1-1D68-TX) readi HRSG D : Outlet stack (T1-1D68-TX) reading undefined HRSG D: Outlet stack (T1-1D68-TX) readin HRSG D: Outlet stack (T1-1D68-TX) reading undefined
438,"HRSG E DUCT(D/STREAM BURNER) READING DIP Work Required Task: To request C&I to replace new transmitter for duct burner reading dipped. Tag number and name: 121TIC-1E67B-TX DUCT(Downstream of Burner) 1st line t/shoot: 1. PO Check trending and found parameter deviation pattern faulty. 2. FO check leak at manifold, tubing and connection. No abnormality 3. FO perform visual inspection on signal cable. Found no cable looseness, burnt mark or physical impairment. T/shooter:Check sensor (ok)Check mA output and found overange. C&I inform to replace new transmitter. remarks: refer attachment for trending HRSG E: To rectify 121TIC-1E67B-TX due t HRSG E: To rectify 121TIC-1E67B-TX due to reading intermittent lost  Work Required Task: To request C&I to replace new transmitter for duct burner reading dipped. Tag number and name: 121TIC-1E67B-TX DUCT(Downstream of Burner) 1st line t/shoot: 1. PO Check trending and found parameter deviation pattern faulty. 2. FO check leak at manifold, tubing and connection. No abnormality 3. FO perform visual inspection on signal cable. Found no cable looseness, burnt mark or physical impairment. T/shooter:Check sensor (ok)Check mA output and found overange. C&I inform to replace new transmitter. remarks: refer attachment for trending"
439,HRSG G OUTLET STACK TEMP READING DEVIATE Defect: HRSG G Outlet stack temperature reading deviate Work request task:Propose C&I to perform re-calibration on the transmitter and change the sensor if required. Tag no and name: 121TI-1G68-TX Stack Temp transmitter 1st Line T/shoot:Reset have been done and verfifcation have been made. Troubleshooter:Troubleshooter check reading to compare transmitter and sensor. Found there are deviation on the reading and show low at DCS. Propose C&I to perform re-calibration on the transmitter and change the sensor if required.Required manpower Remarks: No attachment HRSG G: To perform verification of senso HRSG G: To perform verification of sensor and transmitter for 121TI-1G68-TX Defect: HRSG G Outlet stack temperature reading deviate Work request task:Propose C&I to perform re-calibration on the transmitter and change the sensor if required. Tag no and name: 121TI-1G68-TX Stack Temp transmitter 1st Line T/shoot:Reset have been done and verfifcation have been made. Troubleshooter:Troubleshooter check reading to compare transmitter and sensor. Found there are deviation on the reading and show low at DCS. Propose C&I to perform re-calibration on the transmitter and change the sensor if required.Required manpower Remarks: No attachment
440,"DEA B BFW TEMP READING LOW WORK REQUEST TASK: To request C&I to recalibrate transmitter TAG NUMBER AND NAME: TIA-023-TX Deaerator B BFW Temp INTERGRATED TROOBLESHOOT:OPN- BFW temperature low currently at 91 degree C, normal around 95 degree C. No abnormal at site C&I- 1.As found sensor reading 96 degree c. 2. Transmitter reading 91.1 degree c. 3. To recalibrate this two transmitter. REMARKS: NA DEA B:To perform calibration 121TIA-023- DEA B:To perform calibration 121TIA-023-TX due reading low WORK REQUEST TASK: To request C&I to recalibrate transmitter TAG NUMBER AND NAME: TIA-023-TX Deaerator B BFW Temp INTERGRATED TROOBLESHOOT:OPN- BFW temperature low currently at 91 degree C, normal around 95 degree C. No abnormal at site C&I- 1.As found sensor reading 96 degree c. 2. Transmitter reading 91.1 degree c. 3. To recalibrate this two transmitter. REMARKS: NA"
441,"DEA C BFW TEMP READING LOW WORK REQUEST TASK: To request C&I to recalibrate transmitter TAG NUMBER AND NAME: TIA-027-TX Deaerator C BFW Temp INTERGRATED TROOBLESHOOT:OPN- BFW temperature low currently at 93 degree C, normal around 95 degree C. No abnormal at site C&I- 1.As found sensor reading 96 degree c. 2. Transmitter reading 93 degree c. 3. To recalibrate this two transmitter. REMARKS: NA DEA C:To perform calibration 121TIA-027- DEA C:To perform calibration 121TIA-027-TX due reading low  WORK REQUEST TASK: To request C&I to recalibrate transmitter TAG NUMBER AND NAME: TIA-027-TX Deaerator C BFW Temp INTERGRATED TROOBLESHOOT:OPN- BFW temperature low currently at 93 degree C, normal around 95 degree C. No abnormal at site C&I- 1.As found sensor reading 96 degree c. 2. Transmitter reading 93 degree c. 3. To recalibrate this two transmitter. 121TIA-027-TX REMARKS: NA"
442,"HP BFW PUMP S2 - 121TIA-2H01-TX, READING HP BFW PUMP S2 - 121TIA-2H01-TX, READING FAULTY BFW PP S2: 121TIA-2H01-TX, READING FAULT BFW PP S2: 121TIA-2H01-TX, READING FAULTY"
443,"HP BFW PUMP S3 BEARING METAL TEMP HIGH Work Request : C&I to replace transient protector due to HP BFW pump S3 bearing metal temperature high 80 deg C (121TIA-2JO4-TX).  1st line T/shooting: 1.FO check tubing and connection in good. 2.PO Plot Trending shown transmitter was faulty.  T/Shooter: 1.Check power supply good. 2.Communicate with hart reading ambient and mA ouput good. 3.Bypass transient protector and connect direct cable to the tx, reading good(ambient) 4.Normalize back connection reading back to high.  Remark: -Model:Rosemount -Spec:4705C116 45 volts Dc 4-20mA. -S/N:559504 -LR27565. HP BFW PUMP S3 BEARING METAL TEMP HIGH HP BFW PUMP S3 BEARING METAL TEMP HIGH Work Request : C&I to replace transient protector due to HP BFW pump S3 bearing metal temperature high 80 deg C (121TIA-2JO4-TX).  1st line T/shooting: 1.FO check tubing and connection in good. 2.PO Plot Trending shown transmitter was faulty.  T/Shooter: 1.Check power supply good. 2.Communicate with hart reading ambient and mA ouput good. 3.Bypass transient protector and connect direct cable to the tx, reading good(ambient) 4.Normalize back connection reading back to high.  Remark: -Model:Rosemount -Spec:4705C116 45 volts Dc 4-20mA. -S/N:559504 -LR27565."
444,HRSG B DESUPERHEATER VALVE BADLY LEAK Work request task: To request for servicing gland packing control valve tag number and name: TIC-1B54-CV Desuperheater CV 1st line t/shoot: Spray water badly leak at packing. Cant perform retighten T/shooetr: AWSD remarks: refer attachment HRSG B: To perform servicing for desuper HRSG B: To perform servicing for desuperheater valve due to leak at packing badly Work request task: To request for servicing gland packing control valve tag number and name: TIC-1B54-CV Desuperheater CV 1st line t/shoot: Spray water badly leak at packing. Cant perform retighten T/shooetr: AWSD remarks: refer attachment
445,HRSG B: CV DESUPERHEATED LEAK AT PACKING HRSG B: CV DESUPERHEATED LEAK AT PACKING (TIC-1B54-CV)  1st Line T/Shooter by OPN: - FO found CV TIC-1B54-CV desuperheated leak at packing during EBC task. - OPN inform C&I for finding T/Shooter.  Finding T/Shooter by C&I: - C&I already attend & retighten gland packing but still leaking.  Work Request by OPN: - C&I to change new gland packing during window shutdown.  Remark: - Require to errect scaffolding to attend this defect HRSG B : To perform Desup valve servicin HRSG B : To perform Desup valve servicing 121TIC-1B54-CV due to passing  HRSG B: CV DESUPERHEATED LEAK AT PACKING (TIC-1B54-CV)  1st Line T/Shooter by OPN: - FO found CV TIC-1B54-CV desuperheated leak at packing during EBC task. - OPN inform C&I for finding T/Shooter.  Finding T/Shooter by C&I: - C&I already attend & retighten gland packing but still leaking.  Work Request by OPN: - C&I to change new gland packing during window shutdown.  Remark: - Require to errect scaffolding to attend this defect
446,"Desuperheater valve,HRSG C leak at packi Desuperheater valve,HRSG C leak at packing HRSG C: Desuperheater valve (TIC-1C54-CV HRSG C: Desuperheater valve (TIC-1C54-CV) leak at packing"
447,HRSG C ECO TEMP CONTROL B LINKAGE BROKEN Work Request : C&I to replace new arm linkage at ECONOMIZER TEMP CONTROL B 121TIC-1C56B-CV.  1st line T/shooting : Found during perform Visual inspection arm linkage broken.  T/Shooter :Requested to replace new arm linkage.  Remark:Picture as per attachment. HRSG C:To replace new arm linkage at ECO HRSG C:To replace new arm linkage at ECONOMIZER TEMP CONTROL B 121TIC-1C56B-CV due to linkage broken.  Work Request : C&I to replace new arm linkage at ECONOMIZER TEMP CONTROL B 121TIC-1C56B-CV.  1st line T/shooting : Found during perform Visual inspection arm linkage broken.  T/Shooter :Requested to replace new arm linkage.  Remark:Picture as per attachment.
448,"HRSG D: DESUPERHEATER TX (121TIC-1D54-TX HRSG D: DESUPERHEATER TX (121TIC-1D54-TX) READING FLUCTUATE  Problem Statement: Desuperheater tx reading fluctuated as per trending.  1st Line T/Shooting: 1) Perform trending show deviation and fluctuated. 2) Check at site, no leak at manifold, tubing and connection. Valve normalized. 3) No abnormalities at cable connection.  ATR: 1) Check sensor,read=14.8 mV/85.7ohm.Good. 2) Reading at hart comm 406.48 degree c/18.14mA. VS DCS reading tally. 3) Loop check/simulate reading good. 4) Perform testing by putting CV in manual mode and set minimum opening/fully close. Trending still fluctuated.  Work Request: To perform transmitter replacement for desuperheater tx.  Remarks: Trending after testing as per attachment. HRSG D: DESUPERHEATER TX (121TIC-1D54-TX HRSG D: DESUPERHEATER TX (121TIC-1D54-TX HRSG D: DESUPERHEATER TX (121TIC-1D54-TX) READING FLUCTUATE  Problem Statement: Desuperheater tx reading fluctuated as per trending.  1st Line T/Shooting: 1) Perform trending show deviation and fluctuated. 2) Check at site, no leak at manifold, tubing and connection. Valve normalized. 3) No abnormalities at cable connection.  ATR: 1) Check sensor,read=14.8 mV/85.7ohm.Good. 2) Reading at hart comm 406.48 degree c/18.14mA. VS DCS reading tally. 3) Loop check/simulate reading good. 4) Perform testing by putting CV in manual mode and set minimum opening/fully close. Trending still fluctuated.  Work Request: To perform transmitter replacement for desuperheater tx.  Remarks: Trending after testing as per attachment."
449,HRSG D: Economizer temp reading fluctuat HRSG D: Economizer temp reading fluctuate HRSG D: TIC-1D56-TX reading fluctuate HRSG D: TIC-1D56-TX reading fluctuate
450,"HRSG D: Economizer CV (121TIC-1D56A-CV) HRSG D: Economizer CV (121TIC-1D56A-CV) Stuck  Problem Statement: HRSG D economizer CV (121TIC-1D56A-CV) stuck causing economizer temperature does not follow as per set point.  1st Line T/Shooting: -Both CV in auto, however valve opening not tally. 1D66A - DCS 90%, site 10%; 1D56B - DCS 10%, site - 50%. -Perform stroking for both CV. Result as per ATR. -Observed minor leakage at packing.  ATR: -Visual check no leakage. -Stroking check as found stuck at 27%. -Calibrate zero,and stroking check valve can be operate until 40% after calibrate. -Verify command from DCS to i/p good.4-20mA receive. -Suspect i/p problem.  Work Request: To replace i/p, replace positioner due the old positioner obsolete, and retighten packing.  Remark: Picture of minor leak as per picture attached. HRSG D: Economizer CV (121TIC-1D56A-CV) HRSG D: Economizer CV (121TIC-1D56A-CV) HRSG D: Economizer CV (121TIC-1D56A-CV) Stuck  Problem Statement: HRSG D economizer CV (121TIC-1D56A-CV) stuck causing economizer temperature does not follow as per set point.  1st Line T/Shooting: -Both CV in auto, however valve opening not tally. 1D66A - DCS 90%, site 10%; 1D56B - DCS 10%, site - 50%. -Perform stroking for both CV. Result as per ATR. -Observed minor leakage at packing.  ATR: -Visual check no leakage. -Stroking check as found stuck at 27%. -Calibrate zero,and stroking check valve can be operate until 40% after calibrate. -Verify command from DCS to i/p good.4-20mA receive. -Suspect i/p problem.  Work Request: To replace i/p, replace positioner due the old positioner obsolete, and retighten packing.  Remark: Picture of minor leak as per picture attached."
451,HRSG D ECO TEMP CTRL A READING NOT TALLY WORK REQUEST TASK:CNI to replace I/P converter  TAG NUMBER AND NAME: TIC-1D56A-CV HRSG ECO TEMP CTRL  INTERGRATED T/SHOOTING: OPN-DCS opening 19.6% at local 0%. CnI- 1.Request to raise defect 2.To replace I/P converter  REMARKS: Awaiting Shutdown. HRSG D:To replace I/P converter for 121T HRSG D:To replace I/P converter for 121TIC-1D56A-CV due to reading OPN- DCS not tally. ECO TEMP CTRL A READING NOT TALLY WORK REQUEST TASK:CNI to replace I/P converter  TAG NUMBER AND NAME: TIC-1D56A-CV HRSG ECO TEMP CTRL  INTERGRATED T/SHOOTING: OPN-DCS opening 19.6% at local 0%. CnI- 1.Request to raise defect 2.To replace I/P converter  REMARKS: Awaiting Shutdown.
452,HRSG E desuperheater vlv not tally HRSG E desuperheater vlv not tally (121TIC-1E54-cv) HRSG E: Desuperheater valve (121TIC-1E54 HRSG E: Desuperheater valve (121TIC-1E54-CV) not tally
453,HRSG E : Desuperheater CV (G1-1E54-TX) r HRSG E : Desuperheater CV (G1-1E54-TX) reading undefined  Remark : Functional location not found. Choose nearest location HRSG E : Desuperheater CV (G1-1E54-TX) r HRSG E : Desuperheater CV (G1-1E54-TX) r HRSG E : Desuperheater CV (G1-1E54-TX) reading undefined  Remark : Functional location not found. Choose nearest location
454,"Defect : HRSG F Desuperheater valve pass Defect : HRSG F Desuperheater valve passing  1si line : 1)Temperature before and after desuperheater valve drop from 425C to 400C (25C)during control valve in 0% opening. 2) Compare with other HRSG, temperature differential at 10C 3) Currently opn throotle second manual valve to desuperheater to sustain temperature at desired temperature, ( currently normal at 491C) HRSG F: To Replace desuperheater valve 1 HRSG F: To Replace desuperheater valve 121TIC-1F54-CV due to passing Defect : HRSG F Desuperheater valve passing  1si line : 1)Temperature before and after desuperheater valve drop from 425C to 400C (25C)during control valve in 0% opening. 2) Compare with other HRSG, temperature differential at 10C 3) Currently opn throotle second manual valve to desuperheater to sustain temperature at desired temperature, ( currently normal at 491C)"
455,HRSG F:DESUPERHEATER CV BADLY PASSING HRSG F: DESUPERHEATER CV BADLY PASSING  1st Line T/S: 1.Fully close CV but superheater steam temp still low at 466degC. 2.Fully close manual isolating valve and temp slighly increase to 485degC. 3.Open back manual isolation valve and temperature decrease to 466degC.  Integrated T/S: Request to raise defect  Work Request: To rectify valve badly passing.  Tag Number and name: 121TIC-1F54-CV Desuperheater Control Valve  Remark: Currently superheater steam temp for HRSG F operate below SOL. HRSG F:To perform servicing DESUPERHEATE HRSG F:To perform servicing DESUPERHEATER CV(121TIC-1F54-CV)due to CV badly passing HRSG F: DESUPERHEATER CV BADLY PASSING  1st Line T/S: 1.Fully close CV but superheater steam temp still low at 466degC. 2.Fully close manual isolating valve and temp slighly increase to 485degC. 3.Open back manual isolation valve and temperature decrease to 466degC.  Integrated T/S: Request to raise defect  Work Request: To rectify valve badly passing.  Tag Number and name: 121TIC-1F54-CV Desuperheater Control Valve  Remark: Currently superheater steam temp for HRSG F operate below SOL.
456,"HRSG G:DEsuperheater valve passing HRSG G:DEsuperheater valve passing HRSG G: Desuperheater valve, 121TIC-1G54 HRSG G: Desuperheater valve, 121TIC-1G54-CV passing"
457,HRSG G : Desuperheater CV (G1-1G54-TX) r HRSG G : Desuperheater CV (G1-1G54-TX) reading undefined  Remark : Functional location not found. Choose nearest location HRSG G : Desuperheater CV (G1-1G54-TX) r HRSG G : Desuperheater CV (G1-1G54-TX) r HRSG G : Desuperheater CV (G1-1G54-TX) reading undefined  Remark : Functional location not found. Choose nearest location
458,HRSG G: BFW temp tx TIC-1G56 sensor faul HRSG G: BFW temp tx TIC-1G56-TX sensor faulty HRSG G: TIC-1G56-TX (BFW Temperature tra HRSG G: TIC-1G56-TX (BFW Temperature transmitter) sensor faulty
459,IP/LP letdown A CUF-121TICA-016-TX readi IP/LP letdown A CUF-121TICA-016-TX reading faulty. IP/LP A : CUF-121TICA-016-TX reading fau IP/LP A : CUF-121TICA-016-TX reading faulty.
460,IP/LP A: Temperature tx reading faulty IP/LP A: Temperature tx reading faulty undefined (CUF-121TICA-016-TX) IP/LP A: To rectify temperature tx readi IP/LP A: To rectify temperature tx reading faulty undefined (121TICA- 016-TX)
461,IP/LP LETDOWN B TEMP CUF-121TICA-017-TX IP/LP LETDOWN B TEMP CUF-121TICA-017-TX READING FAULTY. IP/LP B: Temperature transmitter 121TICA IP/LP B: Temperature transmitter 121TICA-017-TX reading faulty
462,IP/LP Letdown B: TICA-017 reading freeze IP/LP Letdown B: TICA-017 reading freeze IP/LP B: TICA-017-TX reading freeze IP/LP B: TICA-017-TX reading freeze
463,"HP/IP LETDOWN B TEMP TX FLUCTUATED WORK REQUEST TASK:CNI to recalibrate TX  TAG NUMBER AND NAME: TICA-019-TX HP/IP Letdown B  INTERGRATED T/SHOOTING: OPN-FO perform stroke check on CV response but no abnormalities. Suspect temperature transmitter problem. CnI- 1.Check connection found terminal screw not sufficiently tight. 2.Check sensor output 007.6mV=186.514 degree c,which is transmitter reading 210 degree c . 3.Recommended to recalibrate the transmitter. 4.Request to raise defect  REMARKS: NA HP/IP LETDOWN B:To calibrate temp transm HP/IP LETDOWN B:To calibrate temp transmitter 121TICA-019-TX due to out of calibration WORK REQUEST TASK:CNI to recalibrate TX  TAG NUMBER AND NAME: TICA-019-TX HP/IP Letdown B  INTERGRATED T/SHOOTING: OPN-FO perform stroke check on CV response but no abnormalities. Suspect temperature transmitter problem. CnI- 1.Check connection found terminal screw not sufficiently tight. 2.Check sensor output 007.6mV=186.514 degree c,which is transmitter reading 210 degree c . 3.Recommended to recalibrate the transmitter. 4.Request to raise defect  REMARKS: NA"
464,BI: HHP/HP LETDOWN A DESUPERHEATER LEAK Work Request task: To request C&I to rectify on packing leak at CV for desuperheater HHP/HP letdown A Tag number and name: TICA-032 HHP/HP Letdown A Desuperheater Intergerated T/shooting: Clear cut defect BI: HHP/HP LETDOWN A -To replace packing BI: HHP/HP LETDOWN A -To replace packing due Desuperheater valve packing leak. Work Request task: To request C&I to rectify on packing leak at CV for desuperheater HHP/HP letdown A Tag number and name: TICA-032 HHP/HP Letdown A Desuperheater Intergerated T/shooting: Clear cut defect
465,HHP/HP LETDOWN A NO INSULATION Work request task: To request Mstat for install new insulation. Upstream HHP side insulation damage. tag number and name: NA. Upstream KC pipe rack Intergrated t/shoot: NA remark: please refer attachment HHP/HP Letdown A: To reinstall insulatio HHP/HP Letdown A: To reinstall insulation at piping as per picture attahed.  HHP/HP LETDOWN A NO INSULATION Work request task: To request Mstat for install new insulation. Upstream HHP side insulation damage. tag number and name: NA. Upstream KC pipe rack Intergrated t/shoot: NA remark: please refer attachment
